Date,Open,High,Low,Close,Adj Close,Volume
2016-12-12,1.916000,1.916000,1.871000,1.889000,1.889000,0
2016-12-13,1.873000,1.919000,1.863000,1.912000,1.912000,0
2016-12-14,1.891000,1.999000,1.869000,1.994000,1.994000,0
2016-12-15,2.119000,2.119000,2.062000,2.068000,2.068000,0
2016-12-16,2.067000,2.096000,2.035000,2.067000,2.067000,0
2016-12-19,2.035000,2.054000,2.007000,2.027000,2.027000,0
2016-12-20,2.052000,2.074000,2.037000,2.046000,2.046000,0
2016-12-21,2.039000,2.039000,2.019000,2.029000,2.029000,0
2016-12-22,2.029000,2.056000,2.027000,2.036000,2.036000,0
2016-12-23,2.030000,2.031000,2.019000,2.030000,2.030000,0
2016-12-27,2.043000,2.062000,2.042000,2.055000,2.055000,0
2016-12-28,2.064000,2.067000,1.996000,1.998000,1.998000,0
2016-12-29,1.987000,1.995000,1.949000,1.962000,1.962000,0
2016-12-30,1.960000,1.965000,1.924000,1.934000,1.934000,0
2017-01-03,1.990000,2.003000,1.941000,1.944000,1.944000,0
2017-01-04,1.959000,1.970000,1.927000,1.947000,1.947000,0
2017-01-05,1.922000,1.927000,1.837000,1.863000,1.863000,0
2017-01-06,1.833000,1.932000,1.833000,1.922000,1.922000,0
2017-01-09,1.897000,1.901000,1.874000,1.881000,1.881000,0
2017-01-10,1.894000,1.894000,1.864000,1.879000,1.879000,0
2017-01-11,1.871000,1.902000,1.830000,1.876000,1.876000,0
2017-01-12,1.846000,1.868000,1.820000,1.868000,1.868000,0
2017-01-13,1.836000,1.933000,1.834000,1.884000,1.884000,0
2017-01-17,1.837000,1.851000,1.804000,1.826000,1.826000,0
2017-01-18,1.859000,1.889000,1.849000,1.885000,1.885000,0
2017-01-19,1.942000,1.988000,1.940000,1.953000,1.953000,0
2017-01-20,1.983000,1.983000,1.930000,1.940000,1.940000,0
2017-01-23,1.917000,1.933000,1.849000,1.867000,1.867000,0
2017-01-24,1.900000,1.938000,1.888000,1.937000,1.937000,0
2017-01-25,1.950000,1.995000,1.950000,1.987000,1.987000,0
2017-01-26,2.002000,2.017000,1.959000,1.962000,1.962000,0
2017-01-27,1.984000,1.986000,1.941000,1.941000,1.941000,0
2017-01-30,1.946000,1.952000,1.918000,1.936000,1.936000,0
2017-01-31,1.938000,1.949000,1.890000,1.908000,1.908000,0
2017-02-01,1.949000,1.984000,1.916000,1.926000,1.926000,0
2017-02-02,1.910000,1.925000,1.888000,1.921000,1.921000,0
2017-02-03,1.943000,1.968000,1.868000,1.933000,1.933000,0
2017-02-06,1.867000,1.892000,1.844000,1.854000,1.854000,0
2017-02-07,1.860000,1.877000,1.817000,1.844000,1.844000,0
2017-02-08,1.826000,1.834000,1.794000,1.816000,1.816000,0
2017-02-09,1.825000,1.870000,1.819000,1.870000,1.870000,0
2017-02-10,1.883000,1.901000,1.872000,1.887000,1.887000,0
2017-02-13,1.913000,1.926000,1.905000,1.911000,1.911000,0
2017-02-14,1.920000,1.990000,1.910000,1.960000,1.960000,0
2017-02-15,1.975000,2.020000,1.973000,2.001000,2.001000,0
2017-02-16,1.968000,1.983000,1.930000,1.941000,1.941000,0
2017-02-17,1.895000,1.917000,1.890000,1.910000,1.910000,0
2017-02-21,1.947000,1.952000,1.905000,1.917000,1.917000,0
2017-02-22,1.903000,1.955000,1.888000,1.912000,1.912000,0
2017-02-23,1.890000,1.890000,1.867000,1.878000,1.878000,0
2017-02-24,1.841000,1.841000,1.803000,1.804000,1.804000,0
2017-02-27,1.827000,1.873000,1.824000,1.870000,1.870000,0
2017-02-28,1.865000,1.891000,1.847000,1.880000,1.880000,0
2017-03-01,1.982000,2.006000,1.979000,1.992000,1.992000,0
2017-03-02,2.011000,2.049000,1.997000,2.030000,2.030000,0
2017-03-03,2.031000,2.059000,2.012000,2.017000,2.017000,0
2017-03-06,2.003000,2.027000,1.996000,2.016000,2.016000,0
2017-03-07,2.036000,2.049000,2.028000,2.044000,2.044000,0
2017-03-08,2.104000,2.113000,2.078000,2.081000,2.081000,0
2017-03-09,2.091000,2.135000,2.084000,2.125000,2.125000,0
2017-03-10,2.133000,2.138000,2.093000,2.105000,2.105000,0
2017-03-13,2.100000,2.133000,2.097000,2.127000,2.127000,0
2017-03-14,2.125000,2.134000,2.112000,2.124000,2.124000,0
2017-03-15,2.105000,2.129000,2.018000,2.020000,2.020000,0
2017-03-16,2.033000,2.043000,2.017000,2.030000,2.030000,0
2017-03-17,2.037000,2.047000,2.002000,2.020000,2.020000,0
2017-03-20,2.020000,2.025000,1.993000,1.993000,1.993000,0
2017-03-21,2.017000,2.022000,1.947000,1.963000,1.963000,0
2017-03-22,1.950000,1.952000,1.908000,1.930000,1.930000,0
2017-03-23,1.945000,1.970000,1.918000,1.943000,1.943000,0
2017-03-24,1.948000,1.958000,1.922000,1.928000,1.928000,0
